Date,Close
2014-07-09,25444.810546875
2014-07-10,25372.75
2014-07-11,25024.349609375
2014-07-14,25006.98046875
2014-07-15,25228.650390625
2014-07-16,25549.720703125
2014-07-17,25561.16015625
2014-07-18,25641.560546875
2014-07-21,25715.169921875
2014-07-22,26025.80078125
2014-07-23,26147.330078125
2014-07-24,26271.849609375
2014-07-25,26126.75
2014-07-28,25991.23046875
2014-07-30,26087.419921875
2014-07-31,25894.970703125
2014-08-01,25480.83984375
2014-08-04,25723.16015625
2014-08-05,25908.009765625
2014-08-06,25665.26953125
2014-08-07,25589.009765625
2014-08-08,25329.140625
2014-08-11,25519.240234375
2014-08-12,25880.76953125
2014-08-13,25918.94921875
2014-08-14,26103.23046875
2014-08-18,26390.9609375
2014-08-19,26420.669921875
2014-08-20,26314.2890625
2014-08-21,26360.109375
2014-08-22,26419.55078125
2014-08-25,26437.01953125
2014-08-26,26442.810546875
2014-08-27,26560.150390625
2014-08-28,26638.109375
2014-09-01,26867.55078125
2014-09-02,27019.390625
2014-09-03,27139.939453125
2014-09-04,27085.9296875
2014-09-05,27026.69921875
2014-09-08,27319.849609375
2014-09-09,27265.3203125
2014-09-10,27057.41015625
2014-09-11,26995.869140625
2014-09-12,27061.0390625
2014-09-15,26816.560546875
2014-09-16,26492.509765625
2014-09-17,26631.2890625
2014-09-18,27112.2109375
2014-09-19,27090.419921875
2014-09-22,27206.740234375
2014-09-23,26775.689453125
2014-09-24,26744.689453125
2014-09-25,26468.359375
2014-09-26,26626.3203125
2014-09-29,26597.109375
2014-09-30,26630.509765625
2014-10-01,26567.990234375
2014-10-07,26271.970703125
2014-10-08,26246.7890625
2014-10-09,26637.279296875
2014-10-10,26297.380859375
2014-10-13,26384.0703125
2014-10-14,26349.330078125
2014-10-16,25999.33984375
2014-10-17,26108.529296875
2014-10-20,26429.849609375
2014-10-21,26575.650390625
2014-10-22,26787.23046875
2014-10-27,26752.900390625
2014-10-28,26880.8203125
2014-10-29,27098.169921875
2014-10-30,27346.330078125
2014-10-31,27865.830078125
2014-11-03,27860.380859375
2014-11-05,27915.880859375
2014-11-07,27868.630859375
2014-11-10,27874.73046875
2014-11-11,27910.060546875
2014-11-12,28008.900390625
2014-11-13,27940.640625
2014-11-14,28046.66015625
2014-11-17,28177.880859375
2014-11-18,28163.2890625
2014-11-19,28032.849609375
2014-11-20,28067.560546875
2014-11-21,28334.630859375
2014-11-24,28499.5390625
2014-11-25,28338.05078125
2014-11-26,28386.189453125
2014-11-27,28438.91015625
2014-11-28,28693.990234375
2014-12-01,28559.619140625
2014-12-02,28444.009765625
2014-12-03,28442.7109375
2014-12-04,28562.8203125
2014-12-05,28458.099609375
2014-12-08,28119.400390625
2014-12-09,27797.009765625
2014-12-10,27831.099609375
2014-12-11,27602.009765625
2014-12-12,27350.6796875
2014-12-15,27319.560546875
2014-12-16,26781.439453125
2014-12-17,26710.130859375
2014-12-18,27126.5703125
2014-12-19,27371.83984375
2014-12-22,27701.7890625
2014-12-23,27506.4609375
2014-12-24,27208.609375
2014-12-30,27403.5390625
2014-12-31,27499.419921875
2015-01-02,27887.900390625
2015-01-05,27842.3203125
2015-01-06,26987.4609375
2015-01-07,26908.8203125
2015-01-08,27274.7109375
2015-01-09,27458.380859375
2015-01-12,27585.26953125
2015-01-13,27425.73046875
2015-01-14,27346.8203125
2015-01-15,28075.55078125
2015-01-16,28121.890625
2015-01-19,28262.009765625
2015-01-20,28784.669921875
2015-01-21,28888.859375
2015-01-22,29006.01953125
2015-01-23,29278.83984375
2015-01-27,29571.0390625
2015-01-28,29559.1796875
2015-01-29,29681.76953125
2015-01-30,29182.94921875
2015-02-02,29122.26953125
2015-02-03,29000.140625
2015-02-04,28883.109375
2015-02-05,28850.970703125
2015-02-06,28717.91015625
2015-02-09,28227.390625
2015-02-10,28355.619140625
2015-02-11,28533.970703125
2015-02-12,28805.099609375
2015-02-13,29094.9296875
2015-02-16,29135.880859375
2015-02-18,29320.259765625
2015-02-19,29462.26953125
2015-02-20,29231.41015625
2015-02-23,28975.109375
2015-02-24,29004.66015625
2015-02-25,29007.990234375
2015-02-26,28746.650390625
2015-02-27,29220.119140625
2015-03-02,29459.140625
2015-03-03,29593.73046875
2015-03-04,29380.73046875
2015-03-05,29448.94921875
2015-03-09,28844.779296875
2015-03-10,28709.869140625
2015-03-11,28659.169921875
2015-03-12,28930.41015625
2015-03-13,28503.30078125
2015-03-16,28437.7109375
2015-03-17,28736.380859375
2015-03-18,28622.119140625
2015-03-19,28469.669921875
2015-03-20,28261.080078125
2015-03-23,28192.01953125
2015-03-24,28161.720703125
2015-03-25,28111.830078125
2015-03-26,27457.580078125
2015-03-27,27458.640625
2015-03-30,27975.859375
2015-03-31,27957.490234375
2015-04-01,28260.140625
2015-04-06,28504.4609375
2015-04-07,28516.58984375
2015-04-08,28707.75
2015-04-09,28885.2109375
2015-04-10,28879.380859375
2015-04-13,29044.439453125
2015-04-15,28799.689453125
2015-04-16,28666.0390625
2015-04-17,28442.099609375
2015-04-20,27886.2109375
2015-04-21,27676.0390625
2015-04-22,27890.130859375
2015-04-23,27735.01953125
2015-04-24,27437.939453125
2015-04-27,27176.990234375
2015-04-28,27396.380859375
2015-04-29,27225.9296875
2015-04-30,27011.310546875
2015-05-04,27490.58984375
2015-05-05,27440.140625
2015-05-06,26717.369140625
2015-05-07,26599.109375
2015-05-08,27105.390625
2015-05-11,27507.30078125
2015-05-12,26877.48046875
2015-05-13,27251.099609375
2015-05-14,27206.060546875
2015-05-15,27324.0
2015-05-18,27687.30078125
2015-05-19,27645.529296875
2015-05-20,27837.2109375
2015-05-21,27809.349609375
2015-05-22,27957.5
2015-05-25,27643.880859375
2015-05-26,27531.41015625
2015-05-27,27564.66015625
2015-05-28,27506.7109375
2015-05-29,27828.439453125
2015-06-01,27848.990234375
2015-06-02,27188.380859375
2015-06-03,26837.19921875
2015-06-04,26813.419921875
2015-06-05,26768.490234375
2015-06-08,26523.08984375
2015-06-09,26481.25
2015-06-10,26840.5
2015-06-11,26370.98046875
2015-06-12,26425.30078125
2015-06-15,26586.55078125
2015-06-16,26686.509765625
2015-06-17,26832.66015625
2015-06-18,27115.830078125
2015-06-19,27316.169921875
2015-06-22,27730.2109375
2015-06-23,27804.369140625
2015-06-24,27729.669921875
2015-06-25,27895.970703125
2015-06-26,27811.83984375
2015-06-29,27645.150390625
2015-06-30,27780.830078125
2015-07-01,28020.869140625
2015-07-02,27945.80078125
2015-07-03,28092.7890625
2015-07-06,28208.759765625
2015-07-07,28171.689453125
2015-07-08,27687.720703125
2015-07-09,27573.66015625
2015-07-10,27661.400390625
2015-07-13,27961.189453125
2015-07-14,27932.900390625
2015-07-15,28198.2890625
2015-07-16,28446.119140625
2015-07-17,28463.310546875
2015-07-20,28420.119140625
2015-07-21,28182.140625
2015-07-22,28504.9296875
2015-07-23,28370.83984375
2015-07-24,28112.310546875
2015-07-27,27561.380859375
2015-07-28,27459.23046875
2015-07-29,27563.4296875
2015-07-30,27705.349609375
2015-07-31,28114.560546875
2015-08-03,28187.060546875
2015-08-04,28071.9296875
2015-08-05,28223.080078125
2015-08-06,28298.130859375
2015-08-07,28236.390625
2015-08-10,28101.720703125
2015-08-11,27866.08984375
2015-08-12,27512.259765625
2015-08-13,27549.529296875
2015-08-14,28067.310546875
2015-08-17,27878.26953125
2015-08-18,27831.5390625
2015-08-19,27931.640625
2015-08-20,27607.8203125
2015-08-21,27366.0703125
2015-08-24,25741.560546875
2015-08-25,26032.380859375
2015-08-26,25714.66015625
2015-08-27,26231.189453125
2015-08-28,26392.380859375
2015-08-31,26283.08984375
2015-09-01,25696.439453125
2015-09-02,25453.560546875
2015-09-03,25764.779296875
2015-09-04,25201.900390625
2015-09-07,24893.810546875
2015-09-08,25317.869140625
2015-09-09,25719.580078125
2015-09-10,25622.169921875
2015-09-11,25610.2109375
2015-09-14,25856.69921875
2015-09-15,25705.9296875
2015-09-16,25963.970703125
2015-09-18,26218.91015625
2015-09-21,26192.98046875
2015-09-22,25651.83984375
2015-09-23,25822.990234375
2015-09-24,25863.5
2015-09-28,25616.83984375
2015-09-29,25778.66015625
2015-09-30,26154.830078125
2015-10-01,26220.94921875
2015-10-05,26785.55078125
2015-10-06,26932.880859375
2015-10-07,27035.849609375
2015-10-08,26845.810546875
2015-10-09,27079.509765625
2015-10-12,26904.109375
2015-10-13,26846.529296875
2015-10-14,26779.66015625
